출원인,출원일,발명의 명칭,Original IPC All,요약,WIPS ON key
현대자동차주식회사 | 기아 주식회사,2017-12-06,Method and Apparatus for Controlling Seat Ventilation Warmer System According to Remote Start Mode,B60N-002/56 | B60H-001/00, The sheet ventilation warmer method of system control according to the control remote wakeup mode of the sheet ventilation warmer system according to the remote wakeup mode according to the working example of the present invention is equipped with step of controlling the makes DB is the sheet ventilation warmer system based on the step: DB and vehicles external temperature it analyzes and it collects. ,3522472000240
"닝보 베이비 퍼스트 베이비 프로덕츠 컴퍼니, 리미티드",2019-07-14,For children use safety seat equipped with installation display function and installation display method,B60N-002/28 | B60R-016/023 | B60R-016/033," The invention relates to for children use safety seat equipped with the installation display function and installation display method. And is corresponded to but whether each connection part of the vehicle and for children use safety seat was accurately mounted by the multiple indicator lights being lit or putting out the light or not or or is the child seat installation use signal aggregation module (7): one or more signals transmitted from the child seat installation use signal aggregation module (7) comprised of the child seat built-in using display module (1):, for indicating whether the children uses for children use safety seat or not the child seat built-in using signal aggregation module (7) and child seat built-in using display module (1) after doing the reception including the power source for supplying power for collecting the signal in which each site of for children use safety seat relates about being accurately mounted to the vehicle and the signal which relates if the children uses for children use safety seat. ",3522472001146
현대자동차주식회사 | 기아 주식회사,2018-03-05,CHILD SEAT TENSIONER FOR VEHICLE,B60N-002/26 | B60N-002/18 | B60R-011/00 | B60R-011/02," Disclosed is the car child seat tensioner. The iso PICS connector mounted on the child seat mounted in the seat in vehicle, the bottom anchor, and the transport unit moving the bottom anchor to forward and backward according to the longitudinal direction of the vehicles are included. The mount stability of the child seat is improved. The convenience of the user is provided. The bottom anchor is attachably and detachably combined in the iso PICS connector and fixes the child seat. ",3522454000287
현대자동차주식회사,2016-09-22,APPARATUS FOR CONTROLLING TEMPERATURE OF VEHICLE SEAT AND METHOD THEREOF,B60N-002/56 | B60H-001/00 | F25B-021/02," The invention relates to the temperature controller of the seat for a car and method thereof, providing the temperature controller and method thereof of the seat for a car improving the continued ratio it reduces the unnecessary energy damping of the battery the marketability of the vehicles is not marred the object temperature corresponding to the temperature control level of sheet according to the indoor temperature and direct ray of light of the vehicles is varied. For this, the invention comprises the direct ray of light sensor sensing the direct ray of light which is incoming to the indoor of the indoor temperature measuring unit: vehicles measuring the indoor temperature of the vehicles as to the temperature controller of the seat for a car and the controller controlling the temperature of sheet by the heating target temperature corresponding to the heating temperature control level or the cooling target temperature corresponding to the cooling temperature control level and varies the heating target temperature and cooling target temperature according to the indoor incident whether or not of the direct ray of light and measured indoor temperature as described above. ",3522462000154
현대트랜시스 주식회사,2021-04-21,Blower for ventilation seat with warm air function and Ventilation seat for vehicle including same,B60N-002/56 | A47C-021/04 | F04D-025/06 | F04D-027/00 | F04D-029/28 | F04D-029/42 | F04D-029/58," The invention relates to the car ventilation seat comprising the blower for the ventilation seat and this having the warm-wind function of using the heat mat and flowing heat in sheet. The blower for the ventilation seat having the warm-wind function according to one embodiment of the present invention is equipped with the heat sink which is installed in order to be connected to the printed circuit board in motor installed at the housing which is the blower flowing the air supplied to the car ventilation seat and in which the accommodation space is formed in the inside and in which the discharged outlet is formed with the inlet port in which the atmosphere is inflowed. And housing, the printed circuit board installed at the impeller which flows air while the impeller are installed in housing and it is operated with motor and housing and inside of housing and heats the air which is flown in the inside of housing. ",3522451000230
안소윤,2015-12-30,A Self-assembly Cup Holder for a vehicle using a sheet,B60N-003/10 | A47G-023/02 | B60R-007/04," The present invention relates to the cup holder for car used in the vehicles and the prefabricated type cup holder for car which the production and use are convenient and uses the main body part removed from sheet and the sheet which easily assembles the cup holder to the hanger part and can use without especially, the tool for the separate assembly or the material by conveniently assembling the cup holder for car to the main body part to put it more concretely formed in sheet and the simple task which strips the hanger part and assembled and using. ",3522454000041
대원산업 주식회사,2021-02-22,Self locking apparatus and power long slide system of seat for vehicle having the same,B60N-002/07 | B60N-002/02 | B60N-002/06 | B60N-002/08," The present invention relates to the power long slide system of the vehicle seat having the same and CELP locking device performing the CELP locking function the rotation driving power is delivered to the worm gear the wheel gear but the rotation driving power is not delivered to the wheel gear the worm gear, comprising the case in which the first worm gear is not on the contrary rotated can be rotated with the rotation of the first worm gear installed at the input side driving shaft: input side driving shaft: first worm gear, and the output end driving shaft in which one side is connected to the rotary shaft of the wheel gear and the wheel gear going in gear with the first worm gear in order to be self-locked to 1 direction support and it cannot rotate the first worm gear. ",3522454000743
대원산업 주식회사,2021-04-08,"Seat apparatus including built-in battery, seat system and its charging method",B60N-002/02 | B60N-002/07 | B60R-011/00 | B60R-016/023 | H02J-007/00," The present invention relates to the filling of the built-in battery type seat apparatus, which contacts the connection head to the rail or the bus bar in the stationary mode ; and it isolates the connection head from the rail or the bus bar in the action mode and reduces the between part rubbing in the driving. And built-in battery type seat system and built-in battery type seat apparatus, comprising the battery which supplies the drive type electric power to the sheet transport unit it is installed at the sheet transport unit: sheet for being installed according to the rail installed at the vehicles it is installed at the sheet: sheet the driving is possible and the battery charging apparatus for selectively letting charge the battery according to the stationary mode or the action mode of sheet. ",3522454000775
젠썸 인코포레이티드,2019-01-24,The capacitance sensing for the steering wheel whether the hand of the passenger is in the steering wheel or not whether the passenger is in the seat or not or for sensing or sheet and heating system,B60R-021/015 | B60N-002/00 | B60N-002/02 | B60N-002/56 | B60R-016/00 | B60R-016/023 | B62D-001/06 | G01D-005/24 | G01V-003/08 | H03K-017/95 | H03K-017/955," Disclosed is the capacitance measurement system (20) for detecting the vehicle passenger. Sensor / heater assemblies (40, 42, 54, 64) includes the sensor it is arranged in at least one among the seat in vehicle (51) or the steering wheel (22) and the arranged to be adjacent to the sensor heater. Testing circuits (24, 58) is configured to it determines. And it determines whether the body part comes close to the sensor based on and, one or more capacitance value one or more capacitance value based on the resonant frequency the resonant frequency of the sensor / heater assembly and testing circuit is measured in response to the excitation signal the excitation signal is outputted to the testing circuit and sensor / heater assembly. ",3522442000993
주식회사다스,2021-03-31,Recliner of seat for vehicle,B60N-002/235 | B60N-002/20 | B60N-002/22," The present invention relates to the recliner of seat for automobile, and the wedge is equipped between the either side pole tooth. The wedge is always advanced to the radius direction inner side with the wedge spring. And the wedge thus supports the either side pole tooth to the columnar direction both sides. Therefore, since the gap between the guide block and the pole tooth are removed and the flow of the pole tooth is prevented the flow and rattle noise of the seat back are prevented. ",3522442001117
현대트랜시스 주식회사,2021-04-07,Apparatus for operating striker pin of vehicle seat,B60N-002/36 | B60N-002/20 | B60N-002/22 | B60N-002/30," The invention relates to the drive unit which the striker of the vehicle seat spreads. And there can be the purpose of being principal to provide the drive unit which the striker solving the exposed problem spreads as a part which the striker of the left side or the right side sheet spreads after the seat back of the center sheet is folded is the outside. To achieve the above object, disclosed are the lock in the latch of the second sheet it is installed at the backframe of the first seat and the drive unit which includes the cable assemblies operating with the seat back folding of the second sheet and operation of the unfolding and rotates the striker pin as to the drive unit which the striker who operates with the seat back folding of the second sheet and operating state of the unfolding and circulated the striker pin which becomes with the unlock (unlock) blooms and in which the cable assemblies is installed between the cable: first tube, which is the lower tube is installed in order to surround cable and which supports the cable moving in the inside and guided the second tube:, which is the upper tube the first tube and the second tube and rotates the striker pin while drawing being removed pulls in the operation of the seat back folding of the second sheet or the unfolding which the striker of the vehicle seat which includes the compensator which is movable elastically supports the bottom part of the second tube blooms. ",3522442001122
주식회사 대유에이텍,2020-10-28,WIRELESS ELECTRIC POWER SUPPLYING SYSTEM FOR VEHICLE SEAT,H02J-050/00 | B60N-002/02 | B60N-002/56 | B60R-016/03 | H01F-038/14 | H02J-050/10 | H02M-007/42," The invention relates to the seat for a car wireless power system for suplying which wirelessly supplies the driving power for all kinds of the automatic operations of the seat for a car. And it is characterized to include the TX module, the RX module slided to the state that relatively faces in the upper rail, the inverter, and the converter. The TX module is built in according to the lower rail fixed to the car body. The RX module slided to the state that relatively faces in the upper rail is fixed to the seat side and is slided according to the lower rail the forward and backward with the anchored, and the TX module and contactless the forward and backward. The inverter converts the DC power supply which it is provided from the car body battery into the AC power source and provided to the TX module. As to the converter, the AC power source consisting of the RX module from the TX module with the wireless supply is delivered from the RX module and converting into the DC power supply and supplied to the seat side ECU. Using this, forward and backward movement of the sheet caused by the conventional wiring interference can be freely disencumbered. ",3522434000490
현대자동차주식회사 | 기아 주식회사,2021-04-02,SEAT RAIL APPARATUS FOR VEHICLE,B60N-002/07," The invention is installed inside the installation area of the floor of the vehicles into one body. And it is inserted into the car body rail equipped with the bond guide hole, and the car body rail and it is combined with the vehicle seat according to backward and forward through the sliding the bond guide hole in the end part of combined sheet upper rail and car body rail. And the stopper restricting the movement of the sheet upper rail is included. And as the car body rail is installed inside the installation area the stopper is arranged on the same line as the upper side of the floor. . ",3522423000129
현대자동차주식회사 | 기아 주식회사 | 현대트랜시스 주식회사 | 주식회사 디에스시동탄,2021-03-31,BACK BOARD ASSEMBLY FOR REAR SEAT,B60N-002/36 | B60N-002/22 | B60N-002/30," The present invention relates to the back board assembly for the automobile rear seat, and the gap generation between the lower part (200) and the luggage board (30) can be always removed by the upper part (100) manufactured to the hard plastic and the configuration of including the lower part (200) regardless of the taking a seat mode of the rear seat passenger. The togetherness with the luggage room can be increased in especially, the folding of the seat back (12) through the upper part (100), connected to the cross direction in a row the lower part (200) and luggage board (30). ",3522421000662
현대자동차주식회사 | 주식회사다스 | 대동모벨시스템 주식회사,2016-11-18,Release actuator of seat for vehicle,B60N-002/02," The present invention relates to the release actuator of the seat for a car, and the sliding groove having the one-way or the opposite direction the pivotal rotation, and the length fixed in both sides torque is delivered from motor include the second cable guide in which the protrusion placed on the other one among the first cable guide: in which the protrusion which is puts is molded and sliding groove it is arranged it is in opposite directions in the other side face of the spur gear the second cable which releases from the folder lock it separates the folder lock latch it is smoothed out is connected are formed in any one of spur gear formed respectively and sliding groove it is arranged it is in opposite directions in one side of the spur gear the first cable which releases from the walk in lock it separates the walk in latch it is smoothed out is connected. And when the spur gear axle-rotates at in a specific direction the protrusion contacts with each other with the sidewall of the sliding groove so that the first cable be smoothed out and the first cable guide rotates. The second cable guide is not rotated. When the spur gear axle-rotates at the opposite direction the protrusion contacts with each other with the sidewall of the sliding groove so that the second cable be smoothed out and the second cable guide rotates. It is characterized by the first cable guide not to be rotated. One is installed and the invention of the configuration as described above can replace the folder lock release actuator and walk in lock release actuator. Therefore while the production cost of sheet is reduced since the sheet internal fabric is simple the assembility can be improved. ",3522422000132
현대자동차주식회사 | 기아 주식회사,2021-03-24,SWIVEL SEAT FOR VEHICLE,B60N-002/75," Disclosed is the car rotating sheet. Is possible to rotate the car rotating sheet includes the mounted seat cushion, the seat back, and one or more arm rest in the floor side of the vehicle room around the rotary shaft. It is mobile in one or more arm rest between the accommodated location, in which one or more arm rest is to the utmost inserted into the insertion hole and the protruded position in which one or more arm rest is to the utmost protruded from the insertion hole. And one or more bearing can be arranged between one or more arm rest and insertion hole. As to the seat back, it is mounted on the edge of the upper side of the seat cushion and the insertion hole of the arched shape is formed. One or more arm rest is formed into the arched shape in order to be inserted into the insertion hole of the arched shape. ",3522413000020
현대자동차주식회사 | 기아 주식회사,2021-03-26,Active Pre Safety Seat System of Vehicle and Method for Improving Control Speed of Pre Safety Seat Thereof,B60N-002/02 | B60N-002/42 | B60W-030/08," In the danger collision situation where the active type sheet attitude control system (10) applied to the vehicles (1) of the present invention detects to the vehicles environmental sensor station (20) of the ADAS (9), the controller (50) the sheet safety confirms the critical regions the respective recline angle detected, and the sliding location and cushion tilt angle as a plurality of sensor of the multiple sheet sensor (30) as the map (60) and matching. Since a plurality of motor of the multiple sheet motor (40) is assembled for the sheet target pose of the sheet (30) for converting into the safety region in the critical regions and the simultaneous control implements the sheet stability control speed improvement method the feature ordering the PSS (Pre Safety Seat) time required of the sheet target pose the reduction is implemented from the risk detection in the PSS (Pre Safety Seat) operable section of the collision former. ",3522413000633
현대트랜시스 주식회사,2020-10-30,METHOD FOR CONTROLLING WALK-IN OF VEHICLE SEAT,B60N-002/02 | B60N-002/12 | B60N-002/14," The present invention relates to the operation control method which is the work of the vehicle seat, and if the actuating signal of the switch (70) which is the work is generated among the return operation which is the work the misoperation whether or not of the switch (70) which is the work is determined in consideration of the signal generation times and signal filtering the time etc. In case of being the misoperation the return operation which is the operation or the work which is the work is continuously proceeded. The operation which is the work in the case of being the normal operation according to the will of the user or the return operation which is the work is stopped as the operation which is the work of sheet. ",3522422000821
현대자동차주식회사 | 기아 주식회사 | 주식회사 오스템 | 주식회사 마노,2021-04-14,REAR SIDE SEAT FRAME FOR KIDS SAFETY CAR,B60N-002/28 | B60N-002/68," The invention relates to the protection of children car shut-down heat Seat frame applied to the vehicles in which childrens are on board like the van for the institute. And the elbow arm: and front-end of pair it unites with the inner side of a pair of elbow arms both side end point of 'ㄷ' shape of a character seat cushion main pipe and the seat cushion frame in which the linear type seat cushion backend pipe is connected and which is formed and the seat back frame in which the shape of a character seat back main pipe which is established 'ㄷ' to be stood up and linear type seat back lower end pipe are connected and which is formed and seat cushion frame and seat back frame are connected comprise the multiple center enforcement yoke bundles which includes the side reinforcement yoke of pair, the seat cushion backend pipe in the first invagination recessed part formed as the front is the inner side yoke of acceptance and cross section weld 'ㄷ', and the outside yoke of the cross section the seat back lower end pipe welds in the second invagination recessed part formed with the upstream as long as it contacts and supports the seat cushion backend pipe and it is put through the top end portion and it contacts and supports the seat back lower end pipe and the inner side yoke is adopted to the outside yoke and fixable unites. Using this, even in case of applying the three-point-type seat belt it is broken with the front of the elbow arm deformation can be prevented. It is broken with front deformation can be prevented through the seat back frame, moreover, the reinforcement structure by the seat back main pipe and seat back lower end pipe. ",3522422001102
주식회사 밴텍디엔씨,2020-11-19,Vehicle seat that turns into bed,B60N-002/34 | A47C-017/16 | A47C-017/80," The present invention relates to the bed variable form vehicle seat which can order the seat back through the pool flat with the reclining in order to use as bed until it becomes the seat cushion and horizontal state. The bed variable form vehicle seat of the present invention comprises the base frame (100) installed at the floor of the vehicles, the combined it is behind possible with the reclining seat back (200), of the base frame and the seat cushion (300), located on the top of the base frame and the seat back which is generated by being installed at the base frame and ordering the seat cushion with swing driving when the seat back is reclined to the pool - flat state and the swing driving part (400) removing forward and backward separate space (A) between the seat cushion and up and down level difference (B). ",3522414000678
주식회사다스,2020-11-30,WASHER MOUNTING STRUCTURE OF SEAT RAIL FOR VEHICLE,B60N-002/015 | B60N-002/07," The present invention relates to the washer mounted structure of the seat rail for vehicle, and the burring portion formed in the bottom part of the lower rail is inserted into the washer hole. The gripper is protruded to the hole inner side of the washer. And the compressor which surrounds the gripper with the bottom of the burring portion and supported is formed and the washer is mounted on the lower rail. The hard installation of the washer the special component for the washer installation is unnecessary is made possible. And the intensity of the mounting bolt joint is improved and it falls out with bolt the developing is prevented. Different problems according to the welding defect are raveled since nots performing the welding. ",3522422000890
