출원인,출원일,발명의 명칭,Original IPC All,요약,WIPS ON key
HYUNDAI MOTOR COMPANY | KIA MOTORS CORPORATION,2020-07-01,MESH TYPE SEAT FOR A VEHICLE,B60N-002/70 | B60N-002/72 | B60N-002/90,"A mesh type seat for a vehicle includes a mesh mounted for supporting the upper body and the lower body of a passenger on a seat frame. An elastic member and a damping member are installed on the mesh type seat and are capable of adjusting the tension of the mesh to the side of the seat frame, thereby providing a comfortable seating feeling to the passenger by adjusting the tension of the mesh while maximizing ventilation performance.",5421018001557
"Ford Global Technologies, LLC",2020-04-01,Vehicle seating cushion with snap-fit fasteners to interconnect with snap-fit receivers on a structural support,F16B-021/08 | B60N-002/64 | F16B-002/22 | B60N-002/70 | B60N-002/68,A seating assembly for a vehicle comprises: a cushion comprising an outer edge and a plurality of snap-fit-fasteners; and a carrier comprising an outer edge surface and a plurality of snap-fit receivers near the outer edge surface of the carrier arranged to receive the plurality of snap-fit fasteners; wherein the plurality of snap-fit receivers have received and are retaining the plurality of snap-fit fasteners such that the cushion is interconnected with the carrier; and wherein the plurality of snap-fit fasteners and plurality of receivers are arranged to prevent the edge of the cushion from rolling up. The cushion further comprises a lip having an inward facing surface; wherein the cushion at least partially surrounds the carrier with at least a portion of the inward facing surface of the lip facing the outer edge surface of the carrier.,4921018003183
"Liuzhou Jianqiao automobile interior Technology Co.,Ltd.",2018-12-06,Novel seat of new energy vehicle,B60N-002/16 | B60N-002/22 | B60N-002/66 | B60N-002/853,"The invention relates to a new energy vehicle, more concretely to a novel seat of a new energy vehicle. The novel seat of the new energy vehicle includes a seat base and a seat back. The novel seat ofthe new energy vehicle can solve the problem that the new energy vehicle is the vehicle project our country strives to develop, the seat structure of the existing new energy vehicle is simple and single and can not be adjusted according to the height and body shape of the user, and can also solve the problem that the seat of the existing new energy vehicle can cause injury to the waist and neck of the driver when the driver drives for a long time.",8421182003455
"SAIC VOLKSWAGEN AUTOMOTIVE Co.,Ltd. | LANGFANG HUAAN AUTOMOBILE EQUIPMENT Co.,Ltd.",2021-01-08,Automobile seat headrest,B60N-002/80 | B60N-002/56,"The invention provides an automobile seat headrest. The automobile seat headrest comprises a basic module and a neck support, the neck support is arranged under the basic module and used for supporting the neck of a passenger. According to the automobile seat headrest, the current market condition and the real requirements of users are well met, comfortable neck support is provided for passengers, and the use functions of the automobile seat headrest are greatly enriched.",8421182011164
"Ford Global Technologies, LLC",2019-02-04,Vehicle seat for a motor vehicle,B60N-002/56 | B60N-002/005 | B60N-002/02 | G05D-001/02,"A motor vehicle, in particular a self-driving motor vehicle, has at least one vehicle seat, wherein the vehicle seat is constructed to be arranged at a selected position from a plurality of positions in the passenger compartment of the motor vehicle.",4921017002031
"TACHI-S CO., LTD.",2019-12-30,Car seat,B60N-002/58,"In a car seat configured to cover a surface of a urethane pad by a trim cover, the trim cover is formed by sewing up a plural number of trim cover members with each other by chain stitch sewing, and by joining a surface on the back side of a portion where the plural number of the trim cover members are sewn up with each other by chain stitch sewing to a flat surface of the surface of the urethane pad by an adhesive.",4921017002035
"TS TECH Co.,Ltd. | Honda Technology Co.,Ltd.",2018-03-01,VEHICLE SEAT,B60N-002/62 | B60N-002/56 | B60N-002/90,The invention aims to improve the operability of installation of a seat for a passenger and dismounting of electrical equipment parts. A vehicle seat (1) includes a seat pad and a bracket (30) configured to be held by the seat pad. The seat pad includes a first pad member (10) and a second pad member (20) firmer than the first pad member (10). The bracket includes an embedded portion (31) embeddedin the second pad member (20) and a protrusion (33) that protrudes outward from the second pad member (20). The protrusion (33) includes an attachment surface (33A) in which a through-hole (33B) forattachment of a component is formed.,8421172001988
"NOBO AUTOMOTIVE SYSTEM Co.,Ltd.",2017-03-28,Seat and vehicle,B60N-002/30,"The invention relates to the technical field of seats and discloses a seat and a vehicle. The seat comprises a backrest, a supporting track and a seat cushion; the backrest can be arranged on the supporting track in a sliding manner; the rear end of the seat cushion and the backrest can be connected with each other in a releasing manner; the front end of the seat cushion can be arranged on the supporting track in a rotating manner; in an occupying state, the rear end of the seat cushion is fixedly connected with the backrest; in an avoiding state, the rear end of the seat cushion is separatedfrom the backrest; the seat cushion turns over around a rotation point of the seat cushion; and the backrest slides towards the seat cushion along the supporting track to a desired position. Therefore, after the rear end of the seat cushion is fixedly connected with the backrest, the occupying state can be provided; when a rear seat passenger needs to get on and off the vehicle, the rear end of the seat cushion is released from the backrest, the seat cushion is turned over forwards and the backrest slides forwards; and therefore, the seat cushion and the backrest are separately adjusted to provide an enough space for the passenger on the rear seat to get on and off the vehicle.",8421172002041
"Ningbo bogus top auto parts Co.,Ltd.",2018-10-08,Side support automobile seat back device,B60N-002/66 | B60N-002/90 | B60N-002/62,"The invention provides a side support automobile seat back device, which comprises a seat module, a side support module and a startup module. The seat module comprises a base frame; a seat cushion isarranged on the base frame; the rear side of the base frame is provided with a backrest frame, the backrest frame is provided with a cushion, the upper end of the backrest frame is provided with an automobile seat head rest, and lateral support modules are arranged on both sides of the backrest frame. The lateral support module comprises a telescopic rod, and the rear end of the telescopic rod isprovided with a push rod motor; the front end of the expansion rod is provided with an elastic air bag; the starting module comprises a trigger member and a sensing member; and the sensing member comprises a contact switch and a fixing plate. The side support automobile seat back device is a device capable of automatically provide a one-way lateral support for a passenger when that vehicle turns,and automatically fitting a line of the back of a passenger's waist, and providing sufficient back support at the same time.",8421172002719
"NOBO AUTOMOTIVE SYSTEM Co.,Ltd.",2017-06-28,Seat with an unlocking handle and a vehicle,B60N-002/07 | B60N-002/075 | B60N-002/08 | B60N-002/12 | B60N-002/16 | B60N-002/22,"The invention provides a seat with an unlocking handle and a vehicle. The seat includes a backrest frame and a base. The base comprises: a fixed orbit and a movable orbit; the angle adjuster assemblyincludes a first connecting plate, an angle adjuster and a second connecting plate. A side arm includes a first side arm and a second side arm, the first side arm being hinged to a front side of the second side arm and the second side arm being also hinged to the first connecting plate; first to fourth links are arranged, the first links is articulated between the base and the first side arm, thesecond links is articulated between the second side arm and the base, the third links and the fourth links being articulated between the second connecting plate and the base, respectively; an unlocking handle is arranged, and the second connecting plate abuts on the unlock handle after the seat is tilted forward at an angle to cause the unlock handle to unlock the moving rail. The seat can be efficiently conveyed from the designed service position to the third row of passenger boarding and disembarking positions by providing a plurality of connecting rods, and the second connecting plate alsoallows synchronous unlocking of the moving rails.",8421172002754
VOLKSWAGEN AG,2017-05-23,Vehicle seat device for motor vehicle,B60N-002/58,"The invention relates to a vehicle seat device (1) for a motor vehicle, having a seat cushion (6) and having a cover arrangement (7) arranged on the seat cushion (6), which has a foam material layer (9), a visible cover (8) arranged on a first side of the foam material layer (9) and fixed to the foam material layer (9) by at least one seam (10), and at least one draw-in band (17) fixed to a secondside of the foam material layer (9), which is drawn into a depression (22) of the seat cushion (6) in order to fix the cover arrangement (7) to the seat cushion (6) and/or to a vehicle seat component(23) carrying the seat cushion (6). According to the invention, at least one in particular flexible retaining band (14) is arranged on the second side of the foam material layer (9) and is fixed by the at least one seam (10) to a plurality of fixing points (16) spaced apart from one another on the cover arrangement (7), and the draw-in band (17) is fixed to the retaining band (14) between the fixing points (16).",8421172002802
"SUZHOU PEIXING INTELLIGENT EQUIPMENT TECHNOLOGY Co.,Ltd.",2018-08-23,Sleep-assisting-type headrest for automobile seat,B60N-002/879,"The invention relates to a sleep-assisting-type headrest for an automobile seat. The sleep-assisting-type headrest comprises a headrest body, ear shielding parts hinged to the two sides of the headrest body, an eye shielding band matched with the eyes of a human body, and winding mechanisms borne to the ear shielding parts and used for winding the eye shielding band, wherein the headrest body is provided with containing grooves for containing the ear shielding parts. Under the normal circumstance, the ear shielding parts are overturned to be folded in the containing grooves, the eye shieldingband is wound to be attached to the headrest body through the winding mechanisms, and thus normal use of the headrest is not affected; when a passenger needs to use the sleep-assisting-type headrest,the ear shielding parts are overturned outwards, meanwhile, the eye shielding band is pulled out from the winding mechanisms and sleeves the eyes, at the moment, the ear shielding parts are also attached to ears of the passenger, thus the effects of sound insulation and light shielding are achieved, and the passenger rests more comfortably; and meanwhile, through the binding and limiting effects of the ear shielding parts and the eye shielding band, the head of the passenger can be relatively fixed, so that the sleeping posture of the passenger is more regular.",8421172003308
"BEIQI FOTON MOTOR Co.,Ltd.",2019-12-24,Automobile seat and automobile,B60N-002/02 | B60N-002/22,"The invention relates to an automobile seat and an automobile. The automobile seat comprises a horizontally arranged seat plate (1) and a backrest (4) connected with the seat plate (1); the seat plate(1) comprises a second supporting area (12) and a first supporting area (11) connected with the backrest (4); the second supporting area (12) is located on the front side of the first supporting area(11). The automobile seat further comprises an angle adjusting device, and the angle adjusting device can drive the second supporting area (12) to turn over upwards relative to the first supporting area (11), so that an included angle is formed between the second supporting area (12) and the first supporting area (11). By means of adjustability of the second supporting area, the seat plate can bekept completely attached to the body of the passenger all the time according to different riding postures of the passenger, so that the passenger is better supported, riding comfort of the passengeris met, fatigue of the passenger is relieved, and meanwhile riding safety can be guaranteed.",8421172006681
"Chongqing Changan Automobile Co.,Ltd.",2021-01-06,Locking structure for angle adjusting handle of automobile seat backrest,B60N-002/22,"The invention relates to a locking structure for an angle adjusting handle of an automobile seat backrest, which comprises an adjusting handle, an unlocking component arranged in the adjusting handle, a locking component, a return spring and a seat side protection plate. The adjusting handle is in a box shape, a square shaft sleeve is arranged in the center of the large end of the adjusting handle, a rectangular frame body is arranged in the middle of the small end of the adjusting handle, one side face of the rectangular frame body and the lower side face of the adjusting handle are coplanar, a rectangular opening is formed in the side face, and semicircular clamping grooves are formed in the two ends of the rectangular frame body in the length direction respectively. The unlocking component is in a U shape and is arranged in the rectangular frame body in a matched mode. The return spring is arranged between the unlocking component and the rectangular frame body; and the locking component is arranged in the unlocking component and the rectangular frame body and is correspondingly matched with the seat side protection plate. According to the locking structure, accidental injuries to passengers due to the fact that the adjusting handle rotates to unlock the backrest under the condition of non-manual operation can be effectively avoided.",8421172012445
He Jianhong,2021-01-12,Seat surface lifting device of automobile seat,B60N-002/75 | B60N-002/22 | B60N-002/66,"The invention provides a seat surface lifting device of an automobile seat, relates to the field of automobile seat components, and aims to solve the problems that when a driver drives an automobile, arms are in a suspended state for a long time, so that muscles of the arms feel aching, and the positions of armrests of an existing seat are not easy to adjust. A driver easily feels tired when driving an automobile, a reasonable waist protection structure is lacked, a back cushion is usually purchased for the waist additionally, and funds are wasted; in order to solve the problems that the height of a backrest of an existing automobile seat is fixed, the use requirements of different driver heights and posture characteristics cannot be met, and consequently the comfort degree of the seat is low, the automobile seat comprises a seat body, armrest assemblies are arranged on the left side and the right side of the seat body, and the two armrest assemblies are symmetrically distributed; guiding plates are arranged on the two sides of the rear end of the chair seat, and the two guiding plates are symmetrically distributed. Due to the fact that the waist backup plate is arranged, the height can be adjusted, the waist can be protected, driving fatigue can be reduced, a driver does not need to additionally purchase a back cushion for the seat, and funds are saved.",8421172012451
"SHANGHAI PATEO ELECTRONIC EQUIPMENT MANUFACTURING Co.,Ltd.",2019-10-18,"Wireless charging system of vehicle seat, and vehicle seat",H02J-007/00 | H02J-050/12 | H02J-050/90 | B60N-002/90 | B60R-011/02,"The invention provides a wireless charging system of a vehicle seat, and the vehicle seat. The wireless charging system comprises a plurality of wireless charging devices, each wireless charging device comprises a wireless charging module and a shell, a containing area for inserting a mobile terminal is arranged on a cushion of the vehicle seat, and the mobile terminal receives power from the wireless charging devices in a wireless mode after being inserted. According to the invention, passengers in a vehicle, especially passengers on rear seats, can use the wireless charging device of the vehicle seat where the passengers are located to charge, so that the user experience is improved.",8421172022976
Xu Shenghao,2019-12-03,New energy automobile seat,B60N-002/22 | B60N-002/90 | B60H-003/00,"The invention provides a new energy automobile seat. The new energy automobile seat comprises a pillow device, the pillow device comprises a pillow frame, a perfume grinding device is arranged in thepillow frame, a transposition groove is formed in the upper end of the perfume grinding device, a rotating device is arranged at the lower end of the perfume grinding device, the rotating device is connected with a massage device through a transmission chain, a driving device is arranged at the lower end of the massage device, and an elastic cotton plate is further arranged at the front end of themassage device; a pillow cushion is arranged at the front end of the pillow frame, and a plurality of air vents communicated with the perfume grinding device and a compartment are formed in the pillow cushion; and the lower end of the pillow frame is connected with a back plate through a connecting rod, and the lower end of the back plate is connected with a seat plate through a back plate adjusting device. According to the new energy automobile seat, the perfume grinding device of the seat is used in cooperation with the massage device, the fatigue feeling of a driver can be reduced, and thedriving safety is improved.",8421171004542
"HOZON NEW ENERGY AUTOMOBILE Co.,Ltd.",2020-12-28,Driver seat adjusting system,B60N-002/02 | B60N-002/06 | B60N-002/22 | B60N-002/806 | B60N-002/90,"The invention relates to the technical field of automobiles, in particular to a driver seat adjusting system. The system comprises a seat regulation and control module, a sensing module and a processing module, the sensing module comprises a knee distance module, and the knee distance module is used for detecting the distance between the instrument desk decorative plate and the knee in real time to obtain a knee distance parameter; the seat regulation and control module comprises a seat horizontal adjustment device, and the seat horizontal adjustment device is used for driving the seat to move in the horizontal direction; the processing module is used for driving the seat horizontal adjusting device to enable the knee distance parameter to accord with a preset knee distance parameter stored internally; the seat adjusting and controlling module further comprises a backrest adjusting device, and the backrest adjusting device is used for driving the backrest to swing. The sensing module further comprises a wrist touch device which is arranged at the top of the steering wheel; and the processing module is used for driving the backrest adjusting device until a touch signal input by the wrist touch device is received. Compared with the prior art, the visual field is not shielded, and the interference of external factors is not likely to happen.",8421171009808
ZIBO VOCATIONAL INSTITUTE,2021-01-13,Automobile seat structure,B60N-002/66,"The invention discloses an automobile seat structure which comprises a seat, a backrest is rotatably connected to the side end of the seat, a connecting groove is formed in the side end of the backrest, a supporting frame is arranged in the connecting groove, a supporting plate is arranged on the supporting frame, a filling material is fixedly connected to the right end face of the supporting plate, a screw is rotatably connected to the middle of the seat, and the right side of the screw penetrates through the seat. A sliding groove is formed in the position, located on the left side of the connecting groove, of the backrest, a stepped structure is formed between the sliding groove and the connecting groove, a sliding block is slidably connected to the middle of the sliding groove, a telescopic pipe is fixedly connected to the right side of the sliding block, a driving block is slidably connected to the middle of the supporting frame, and a limiting plate is slidably connected into the sliding groove; the middle part of the left side of the limiting plate is fixedly connected with a connecting column; according to the automobile seat structure, the position, located at the joint of the seat body and the backrest, of the back can be supported, fatigue of a driver is relieved, and meanwhile the angle of the supporting plate can be adjusted to adapt to using habits of different people.",8421171009815
"CHONGQING YANFENG ADIENT AUTOMOTIVE COMPONENTS Co.,Ltd.",2021-01-19,Automobile seat neck collar and headrest with neck collar,B60N-002/806 | B60N-002/874,"The invention discloses an automobile seat neck collar which comprises a neck collar support, an upper connecting rod, a front connecting rod and a lower connecting rod which are sequentially connected in a rotating mode to form a four-connecting-rod mechanism, a spring bolt protruding inwards is arranged on the inner side of the front connecting rod, a locking matching structure matched with the spring bolt is arranged on the neck collar support, and an elastic element is installed between the neck collar support and the upper connecting rod. In the folding process of the neck collar, the front connecting rod moves in the direction close to the neck collar support until the spring bolt is clamped on the locking matching structure; in the unfolding process of the neck collar, external force is applied to enable the spring bolt to be separated from the locking matching structure, and the four-connecting-rod mechanism automatically moves outwards under the action of the elastic element. The automobile seat neck collar has the beneficial effects that a driver can automatically unlock the neck support by outwards pulling the neck support with hands, and for a user sitting on the seat, the automobile seat has higher control convenience and better user experience.",8421171009816
Wonderland Switzerland AG,2020-12-17,CHILD SAFETY SEAT,B60N-002/28 | B60N-002/22,"A child safety seat includes a seat portion, a backrest assembly connected with the seat portion and including a first and a second portion slidably connected with each other and a third portion slidably connected with the second portion, and a backrest adjusting system carried with the backrest assembly and configured to provide a first stage of height adjustment where the first and second portions are locked with each other and the third portion is movable relative to the first and second portions for adjustment, and a second stage of height adjustment where the second portion is locked with the third portion and unlocked from the first portion so that the second portion and the third portion are movable in unison relative to the first portion for adjustment.",5421016001461
